EntryID,Split,TRANSCRIPTIONAL,CHROMOSOME,NUCLEAR_PORE_COMPLEX,NUCLEAR_SPECKLE,P-BODY,PML-BDOY,POST_SYNAPTIC_DENSITY,STRESS_GRANULE,NUCLEOLUS,CAJAL_BODY,RNA_GRANULE,CELL_JUNCTION
TAD2A_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
SRS10_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
CLD11_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
EED_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
BAF_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
SF3B1_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
CSDE1_HUMAN,train,0,0,0,0,1,0,0,1,0,0,0,0
WBP4_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
PGRP1_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
DEDD_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
NU155_HUMAN,train,0,0,1,0,0,0,0,0,0,0,0,0
POP7_HUMAN,train,0,0,0,0,0,0,0,1,1,0,0,0
SPF27_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
SPF30_HUMAN,train,0,0,0,1,0,0,0,0,0,1,0,0
RL1D1_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
RNF8_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
NFASC_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
FCSD2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
UFL1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
SRBS2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
PHF14_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
RPP14_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
REC8_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
LC7L3_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
KIF4A_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
KAT7_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
TNKS1_HUMAN,train,0,1,1,0,0,0,0,0,0,0,0,0
SMC2_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
SLU7_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
CXB6_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CLD9_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CLD14_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CBX6_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
TYDP2_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
MET18_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
BRD1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
RPP29_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
ERR2_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
RIGI_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CLD1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
MBD3_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
F107A_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
ADA_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
MYC_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
LMNA_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
TRFL_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
ANGI_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
HSP1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
PRM2_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
H2A1B_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
ARGI1_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
ITB3_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
IF2A_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
ITB1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
K1C18_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
IF4E_HUMAN,train,0,0,0,0,1,0,0,1,0,0,0,0
H2B1J_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
CENPB_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
H10_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
FES_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CXB1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
4F2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CATG_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
HCK_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
SRP19_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
STP1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
H2AZ_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
H2A1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
MYZAP_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
NARR_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
H3Y1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
H3Y2_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
TZAP_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
SRGN_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
RNAS2_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
H14_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
HSP7C_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
TOP1_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
PERE_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
KPSH1_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
PABP1_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
ACTN1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CADH1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
SRC_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
XRCC6_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
XRCC5_HUMAN,train,0,1,0,0,0,0,0,0,1,0,0,0
CEAM1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
GCFC2_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
KCNA2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
H15_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
H12_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
EPCAM_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
FER_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
HMGA1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
UBF1_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
DDX5_HUMAN,train,0,0,0,1,0,0,0,0,1,0,0,0
VINC_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
PTPRA_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
ITB6_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
ATF4_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
CADH2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
WT1_HUMAN,train,0,0,0,1,0,0,0,0,1,0,0,0
H2A1D_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
TGM2_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
FBRL_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
H1T_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
ROA2_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
MMP8_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
SFPQ_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
RS3_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
H2B1O_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
CMA1_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
CDK2_HUMAN,train,0,0,0,0,0,0,0,0,0,1,0,0
MCM3_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
DNJB1_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
DDX6_HUMAN,train,0,0,0,0,1,0,0,0,0,0,0,0
APEX1_HUMAN,train,0,0,0,1,0,0,0,0,1,0,0,0
MK01_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
ERCC5_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
CXB2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
EPHA2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
KDM5A_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
2AAA_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
CPSM_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
TIA1_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
SC6A4_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
DSG3_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CADH5_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
H2B1B_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
MCM4_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
CXA4_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CTNA1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CTNB1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
MERL_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
VGFR2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CXA5_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CXG1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
PP1G_HUMAN,train,0,1,0,1,0,0,0,0,1,0,0,0
TGFR1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
RPB9_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
SCNNA_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
COIL_HUMAN,train,0,0,0,0,0,0,0,0,0,1,0,0
GRP75_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
FEN1_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
ARL4A_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
MLH1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
CETN2_HUMAN,train,0,0,1,0,0,0,0,0,0,0,0,0
RGS2_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
LAP2A_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
MTREX_HUMAN,train,0,0,0,1,0,0,0,0,1,0,0,0
AF9_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
CBX5_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
RAGP1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
NOP2_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
RL5_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
LIMS1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CXA8_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
SOX2_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
KC1A_HUMAN,train,0,1,0,1,0,0,0,0,0,0,0,0
CCN3_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
PAXI_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CENPA_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
ARL4D_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
CTCF_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
MCM2_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
CLK2_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
CLK3_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
NU153_HUMAN,train,0,0,1,0,0,0,0,0,0,0,0,0
MRE11_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
VASP_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
DYN2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
RASF2_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
RAB13_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
UBP11_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
DYLT3_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
HNRPM_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
RPAB3_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
EFNB2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
PLK1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
TERA_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
ELL_HUMAN,train,0,0,0,1,0,0,0,0,0,1,0,0
BRPF1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
DSRAD_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
ANM2_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
SEC13_HUMAN,train,0,0,1,0,0,0,0,0,0,0,0,0
EIF3B_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
SYMC_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
IF6_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
CLD15_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CLD6_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CLD8_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
BCAR1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
WDR4_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
JAM2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
NAC3_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
GEMI4_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
CLD2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
NU107_HUMAN,train,0,1,1,0,0,0,0,0,0,0,0,0
H2B1D_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
NALP5_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
HILS1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
NANO2_HUMAN,train,0,0,0,0,1,0,0,0,0,0,0,0
NANO3_HUMAN,train,0,0,0,0,1,0,0,1,0,0,0,0
SRP54_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
CXCR4_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
RAP1B_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
MGN_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
PP1B_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
PP2AB_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
H4_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
H2B1C_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
RL11_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
PP2AA_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
YBOX1_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
EF1A1_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
H31_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
CXAR_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
NOP14_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
RPP38_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
RPP30_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
CNTP1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
CLD10_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
PRAME_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
SARNP_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
SRSF3_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
H33_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
MDM2_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
TIAR_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
SRSF2_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
XPC_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
AK17A_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
DSG1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
TIE2_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
TOP2B_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
MECOM_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
IF4G1_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
SRY_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
PTN12_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
LEG10_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
KPCZ_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
MBTD1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
RING1_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
ZO1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
SRSF1_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
SRSF4_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
PCDH1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
DHX9_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
DSC1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
PPID_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
SSRP1_HUMAN,train,0,1,0,0,0,0,0,0,1,0,0,0
NSUN2_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
BRME1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
CGNL1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
U17LO_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
NU160_HUMAN,train,0,0,1,0,0,0,0,0,0,0,0,0
PO4F2_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
SF3A3_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
ILF2_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
ILF3_HUMAN,train,0,0,0,0,0,0,0,0,1,0,0,0
IRAG2_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
PTPRJ_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
DLG1_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
MYO1E_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
PP1R8_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
FLII_HUMAN,train,0,0,0,0,0,0,0,0,0,0,0,1
PAK1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,1
SRSF6_HUMAN,train,0,0,0,1,0,0,0,0,0,0,0,0
MD2L1_HUMAN,train,0,1,0,0,0,0,0,0,0,0,0,0
G3BP1_HUMAN,train,0,0,0,0,0,0,0,1,0,0,0,0
